ID;Gemeente_Code;Gemeente;Perioden;TotaleBevolking
11474;GM0811;Maarheeze;2021;
11501;GM0332;Maarn;2021;
11528;GM0333;Maarssen;2021;
11555;GM0334;Maartensdijk;2021;
11582;GM0933;Maasbracht;2021;
11609;GM0934;Maasbree;2021;
11636;GM1671;Maasdonk;2021;
11663;GM0263;Maasdriel;2021;25452
11690;GM1641;Maasgouw;2021;23947
11717;GM0555;Maasland;2021;
11744;GM0556;Maassluis;2021;33567
11771;GM0935;Maastricht;2021;120227
11798;GM1665;Made;2021;
11825;GM0812;Made en Drimmelen;2021;
11852;GM0936;Margraten;2021;
11879;GM0686;Mariekerke;2021;
11906;GM0169;Markelo;2021;
11933;GM1663;De Marne;2021;
11960;GM0025;Marum;2021;
11987;GM0264;Maurik;2021;
12014;GM0420;Medemblik;2021;45165
12041;GM0993;Meerlo-Wanssum;2021;
12068;GM0938;Meerssen;2021;18661
12095;GM1948;Meierijstad;2021;81647
12122;GM0941;Meijel;2021;
12149;GM0083;Menaldumadeel;2021;
12176;GM1908;Menameradiel;2021;
12203;GM1987;Menterwolde;2021;
12230;GM0119;Meppel;2021;34386
12257;GM0687;Middelburg (Z.);2021;48964
12284;GM0559;Middelharnis;2021;
12311;GM1842;Midden-Delfland;2021;19414
12338;GM1731;Midden-Drenthe;2021;33381
12365;GM1952;Midden-Groningen;2021;60726
12392;GM0688;Middenschouwen;2021;
12419;GM1697;Middenveld;2021;
12446;GM0814;Mierlo;2021;
12473;GM0815;Mill en Sint Hubert;2021;11004
12500;GM0265;Millingen aan de Rijn;2021;
12527;GM1709;Moerdijk;2021;37185
12554;GM0816;Moergestel;2021;
12581;GM1978;Molenlanden;2021;44130
12608;GM1927;Molenwaard;2021;
12635;GM0562;Monster;2021;
12662;GM1955;Montferland;2021;36031
12689;GM0335;Montfoort;2021;13896
12716;GM0944;Mook en Middelaar;2021;7909
12743;GM0563;Moordrecht;2021;
12770;GM0424;Muiden;2021;
12797;GM0565;Naaldwijk;2021;
12824;GM0425;Naarden;2021;
12851;GM1740;Neder-Betuwe;2021;24648
12878;GM0426;Nederhorst den Berg;2021;
12905;GM0643;Nederlek;2021;
12932;GM0946;Nederweert;2021;17171
12959;GM0266;Neede;2021;
12986;GM0304;Neerijnen;2021;
13013;GM0412;Niedorp;2021;
13040;GM0356;Nieuwegein;2021;63866
13067;GM0567;Nieuwerkerk aan den IJssel;2021;
13094;GM0817;Nieuw-Ginneken;2021;
13121;GM0569;Nieuwkoop;2021;29151
13148;GM0571;Nieuw-Lekkerland;2021;
13175;GM0170;Nieuwleusen;2021;
13202;GM0818;Nieuw-Vossemeer;2021;
13229;GM0104;Nijefurd;2021;
13256;GM0121;Nijeveen;2021;
13283;GM0267;Nijkerk;2021;43600
13310;GM0268;Nijmegen;2021;177359
13337;GM1930;Nissewaard;2021;85440
13364;GM1970;Noardeast-Fryslân;2021;45481
13391;GM1695;Noord-Beveland;2021;7581
13418;GM1699;Noordenveld;2021;31214
13445;GM0529;Noorder-Koggenland;2021;
13472;GM0171;Noordoostpolder;2021;47583
13499;GM0575;Noordwijk;2021;44062
13526;GM0576;Noordwijkerhout;2021;
13553;GM0577;Nootdorp;2021;
13580;GM0120;Norg;2021;
13607;GM0820;Nuenen, Gerwen en Nederwetten;2021;23702
13634;GM0302;Nunspeet;2021;28021
13661;GM0951;Nuth;2021;
13688;GM0429;Obdam;2021;
13715;GM0122;Odoorn;2021;
13742;GM0579;Oegstgeest;2021;25064
13769;GM0823;Oirschot;2021;18842
13796;GM0824;Oisterwijk;2021;32373
13823;GM1895;Oldambt;2021;38277
13850;GM0269;Oldebroek;2021;23760
13877;GM0173;Oldenzaal;2021;31701
13904;GM0174;Olst;2021;
13931;GM1773;Olst-Wijhe;2021;18361
13958;GM0175;Ommen;2021;18295
13985;GM0881;Onderbanken;2021;
14012;GM1586;Oost Gelre;2021;29574
14039;GM0825;Oost-, West- en Middelbeers;2021;
14066;GM0692;Oostburg;2021;
14093;GM0123;Oosterhesselen;2021;
14120;GM0826;Oosterhout;2021;56206
14147;GM0580;Oostflakkee;2021;
14174;GM0085;Ooststellingwerf;2021;25464
14201;GM0431;Oostzaan;2021;9689
14228;GM0176;Ootmarsum;2021;
14255;GM0432;Opmeer;2021;12009
14282;GM0086;Opsterland;2021;29812
14309;GM0828;Oss;2021;92526
14336;GM0829;Ossendrecht;2021;
14363;GM0831;Oud en Nieuw Gastel;2021;
14390;GM0584;Oud-Beijerland;2021;
14417;GM1509;Oude IJsselstreek;2021;39346
14444;GM0830;Oudenbosch;2021;
14471;GM0437;Ouder-Amstel;2021;14125
14498;GM0644;Ouderkerk;2021;
14525;GM0589;Oudewater;2021;10138
14552;GM1734;Overbetuwe;2021;48214
14579;GM0590;Papendrecht;2021;32171
14606;GM1894;Peel en Maas;2021;43660
14633;GM0124;Peize;2021;
14660;GM0765;Pekela;2021;12176
14687;GM0594;Pijnacker;2021;
14714;GM1926;Pijnacker-Nootdorp;2021;55674
14741;GM0832;Prinsenbeek;2021;
14768;GM0439;Purmerend;2021;81683
14795;GM0833;Putte;2021;
14822;GM0273;Putten;2021;24365
14849;GM0177;Raalte;2021;37911
14876;GM0834;Raamsdonk;2021;
14903;GM0835;Ravenstein;2021;
14930;GM0595;Reeuwijk;2021;
14957;GM1661;Reiderland;2021;
14984;GM0703;Reimerswaal;2021;22896
15011;GM0274;Renkum;2021;31417
15038;GM0339;Renswoude;2021;5556
15065;GM0836;Reusel;2021;
15092;GM1667;Reusel-De Mierden;2021;13127
15119;GM0275;Rheden;2021;43525
15146;GM0340;Rhenen;2021;20203
15173;GM0597;Ridderkerk;2021;46671
15200;GM0837;Riethoven;2021;
15227;GM0602;Rijnsburg;2021;
15254;GM0196;Rijnwaarden;2021;
15281;GM1672;Rijnwoude;2021;
15308;GM0841;Rijsbergen;2021;
15335;GM0178;Rijssen;2021;
15362;GM1742;Rijssen-Holten;2021;38204
15389;GM0603;Rijswijk (ZH.);2021;55220
15416;GM0125;Roden;2021;
15443;GM1669;Roerdalen;2021;20580
15470;GM0957;Roermond;2021;58763
15497;GM1670;Roggel en Neer;2021;
15524;GM0126;Rolde;2021;
15551;GM0736;De Ronde Venen;2021;44720
15578;GM1674;Roosendaal;2021;77200
15605;GM0838;Roosendaal en Nispen;2021;
15632;GM0839;Rosmalen;2021;
15659;GM0276;Rossum;2021;
15686;GM0599;Rotterdam;2021;651631
15713;GM0600;Rozenburg;2021;
15740;GM0277;Rozendaal;2021;1726
15767;GM0840;Rucphen;2021;23080
15794;GM0127;Ruinen;2021;
15821;GM0128;Ruinerwold;2021;
15848;GM0278;Ruurlo;2021;
15875;GM0704;Sas van Gent;2021;
15902;GM0604;Sassenheim;2021;
15929;GM0441;Schagen;2021;46532
15956;GM0039;Scheemda;2021;
15983;GM0458;Schermer;2021;
16010;GM0279;Scherpenzeel;2021;10128
16037;GM0606;Schiedam;2021;79279
16064;GM0088;Schiermonnikoog;2021;931
16091;GM0844;Schijndel;2021;
16118;GM0962;Schinnen;2021;
16145;GM0607;Schipluiden;2021;
16172;GM0129;Schoonebeek;2021;
16199;GM0608;Schoonhoven;2021;
16226;GM0444;Schoorl;2021;
16253;GM1676;Schouwen-Duiveland;2021;34065
16280;GM0964;Sevenum;2021;
16307;GM0965;Simpelveld;2021;10477
16334;GM1702;Sint Anthonis;2021;11691
16361;GM0845;Sint-Michielsgestel;2021;29498
16388;GM0846;Sint-Oedenrode;2021;
16415;GM0968;Sittard;2021;
16442;GM1883;Sittard-Geleen;2021;91743
16469;GM0051;Skarsterlân;2021;
16496;GM0130;Sleen;2021;
16523;GM0610;Sliedrecht;2021;25597
16550;GM0040;Slochteren;2021;
16577;GM1714;Sluis;2021;23166
16604;GM1698;Sluis-Aardenburg;2021;
16631;GM0090;Smallingerland;2021;56040
16658;GM0131;Smilde;2021;
16685;GM0091;Sneek;2021;
16712;GM0342;Soest;2021;46906
16739;GM0847;Someren;2021;19428
16766;GM0848;Son en Breugel;2021;17552
16793;GM0612;Spijkenisse;2021;
16820;GM0849;Sprang-Capelle;2021;
16847;GM1691;St. Anthonis;2021;
16874;GM0179;Stad Delden;2021;
16901;GM0037;Stadskanaal;2021;31754
16928;GM0850;Standdaarbuiten;2021;
16955;GM0180;Staphorst;2021;17261
16982;GM0532;Stede Broec;2021;21743
17009;GM0851;Steenbergen;2021;24310
17036;GM0280;Steenderen;2021;
17063;GM0181;Steenwijk;2021;
17090;GM1708;Steenwijkerland;2021;44341
17117;GM0971;Stein (L.);2021;24875
17144;GM1904;Stichtse Vecht;2021;65108
17171;GM0973;Stramproy;2021;
17198;GM0617;Strijen;2021;
17225;GM1900;Súdwest-Fryslân;2021;89999
17252;GM0974;Susteren;2021;
17279;GM0975;Swalmen;2021;
17306;GM0976;Tegelen;2021;
17333;GM0853;Terheijden;2021;
17360;GM0715;Terneuzen;2021;54463
17387;GM0093;Terschelling;2021;4870
17414;GM0854;Teteringen;2021;
17441;GM0448;Texel;2021;13656
17468;GM1525;Teylingen;2021;37791
17495;GM0716;Tholen;2021;26085
17522;GM0977;Thorn;2021;
17549;GM0281;Tiel;2021;41920
17576;GM0855;Tilburg;2021;221947
17603;GM0183;Tubbergen;2021;21315
17630;GM1700;Twenterand;2021;33699
17657;GM1730;Tynaarlo;2021;33978
17684;GM0737;Tytsjerksteradiel;2021;32060
17711;GM0282;Ubbergen;2021;
17738;GM0856;Uden;2021;42291
17765;GM0857;Udenhout;2021;
17792;GM0450;Uitgeest;2021;13632
17819;GM0451;Uithoorn;2021;30206
17846;GM0184;Urk;2021;21227
17873;GM0344;Utrecht (gemeente);2021;359370
17900;GM1581;Utrechtse Heuvelrug;2021;49946
17927;GM0981;Vaals;2021;10084
17954;GM0283;Valburg;2021;
17981;GM0619;Valkenburg (ZH.);2021;
18008;GM0994;Valkenburg aan de Geul;2021;16365
18035;GM0720;Valkenisse;2021;
18062;GM0858;Valkenswaard;2021;31221
18089;GM0047;Veendam;2021;27417
18116;GM0345;Veenendaal;2021;66912
18143;GM0717;Veere;2021;21953
18170;GM0860;Veghel;2021;
18197;GM0861;Veldhoven;2021;45500
18224;GM0453;Velsen;2021;68617
18251;GM0454;Venhuizen;2021;
18278;GM0983;Venlo;2021;101988
18305;GM0984;Venray;2021;43713
18332;GM0862;Vessem, Wintelre en Knegsel;2021;
18359;GM0620;Vianen;2021;
18386;GM0863;Vierlingsbeek;2021;
18413;GM1961;Vijfheerenlanden;2021;57829
18440;GM0622;Vlaardingen;2021;73924
18467;GM0048;Vlagtwedde;2021;
18494;GM0132;Vledder;2021;
18521;GM0347;Vleuten-De Meern;2021;
18548;GM0096;Vlieland;2021;1194
18575;GM0864;Vlijmen;2021;
18602;GM0718;Vlissingen;2021;44358
18629;GM0623;Vlist;2021;
18656;GM0986;Voerendaal;2021;12466
18683;GM0624;Voorburg;2021;
18710;GM0625;Voorhout;2021;
18737;GM0626;Voorschoten;2021;25650
18764;GM0285;Voorst;2021;24790
18791;GM0286;Vorden;2021;
18818;GM0133;Vries;2021;
18845;GM0186;Vriezenveen;2021;
18872;GM0865;Vught;2021;31669
18899;GM1949;Waadhoeke;2021;46149
18926;GM0866;Waalre;2021;17544
18953;GM0867;Waalwijk;2021;48815
18980;GM0627;Waddinxveen;2021;30479
19007;GM0289;Wageningen;2021;39635
19034;GM0628;Warmond;2021;
19061;GM0291;Warnsveld;2021;
19088;GM0869;Waspik;2021;
19115;GM0629;Wassenaar;2021;26949
19142;GM0630;Wateringen;2021;
19169;GM0852;Waterland;2021;17312
19196;GM0188;Weerselo;2021;
19223;GM0988;Weert;2021;50011
19250;GM0457;Weesp;2021;20445
19277;GM0292;Wehl;2021;
19304;GM0870;Werkendam;2021;
19331;GM0459;Wervershoof;2021;
19358;GM1960;West Betuwe;2021;51496
19385;GM0668;West Maas en Waal;2021;19581
19412;GM0134;Westerbork;2021;
19439;GM0871;Westerhoven;2021;
19466;GM0558;Wester-Koggenland;2021;
19493;GM1969;Westerkwartier;2021;63678
19520;GM0725;Westerschouwen;2021;
19547;GM1701;Westerveld;2021;19661
19574;GM0293;Westervoort;2021;15014
19601;GM1950;Westerwolde;2021;26215
19628;GM0726;Westkapelle;2021;
19655;GM1783;Westland;2021;111382
19682;GM0098;Weststellingwerf;2021;26130
19709;GM0614;Westvoorne;2021;14900
19736;GM0189;Wierden;2021;24538
19763;GM0462;Wieringen;2021;
19790;GM0463;Wieringermeer;2021;
19817;GM0296;Wijchen;2021;41261
19844;GM1696;Wijdemeren;2021;24463
19871;GM0190;Wijhe;2021;
19898;GM0135;De Wijk;2021;
19925;GM0352;Wijk bij Duurstede;2021;23925
19952;GM0872;Willemstad;2021;
19979;GM0052;Winschoten;2021;
20006;GM0053;Winsum;2021;
20033;GM0294;Winterswijk;2021;29022
20060;GM0295;Wisch;2021;
20087;GM0990;Wittem;2021;
20114;GM0873;Woensdrecht;2021;22028
20141;GM0632;Woerden;2021;52694
20168;GM0466;Wognum;2021;
20195;GM1690;De Wolden;2021;24374
20222;GM0880;Wormerland;2021;16333
20249;GM0351;Woudenberg;2021;13639
20276;GM0874;Woudrichem;2021;
20303;GM0875;Wouw;2021;
20330;GM0710;Wûnseradiel;2021;
20357;GM0683;Wymbritseradiel;2021;
20384;GM0479;Zaanstad;2021;156901
20411;GM0297;Zaltbommel;2021;29447
20438;GM0473;Zandvoort;2021;17168
20465;GM0707;Zederik;2021;
20492;GM0478;Zeevang;2021;
20519;GM0050;Zeewolde;2021;22879
20546;GM0355;Zeist;2021;65043
20573;GM0298;Zelhem;2021;
20600;GM0299;Zevenaar;2021;44096
20627;GM0878;Zevenbergen;2021;
20654;GM1666;Zevenhuizen-Moerkapelle;2021;
20681;GM0732;Zierikzee;2021;
20708;GM0476;Zijpe;2021;
20735;GM0637;Zoetermeer;2021;125267
20762;GM0638;Zoeterwoude;2021;8843
20789;GM0056;Zuidhorn;2021;
20816;GM0136;Zuidlaren;2021;
20843;GM1892;Zuidplas;2021;45064
20870;GM0137;Zuidwolde;2021;
20897;GM0879;Zundert;2021;21988
20924;GM0301;Zutphen;2021;48111
20951;GM1896;Zwartewaterland;2021;22823
20978;GM0192;Zwartsluis;2021;
21005;GM0138;Zweeloo;2021;
21032;GM0642;Zwijndrecht;2021;44775
21059;GM0193;Zwolle;2021;129840
